country,gdpp,expand
Afghanistan,553,0.07
Albania,4090,0.24
Algeria,4460,0.24
Angola,3530,0.2
Antigua and Barbuda,12200,0.55
Argentina,10300,0.51
Armenia,3220,0.19
Australia,51900,1
Austria,46900,1
Azerbaijan,5840,0.5
Bahamas,28000,1
Bahrain,20700,1
Bangladesh,758,0.08
Barbados,16000,0.7
Belarus,6030,0.3
Belgium,44400,1
Belize,4340,0.24
Benin,758,0.08
Bhutan,2180,0.12
Bolivia,1980,0.11
Bosnia and Herzegovina,4610,0.25
Botswana,6350,0.31
Brazil,11200,0.52
Brunei,35300,1
Bulgaria,6840,0.32
Burkina Faso,575,0.07
Burundi,231,0.03
Cambodia,786,0.25
Cameroon,1310,0.25
Canada,47400,1
Cape Verde,3310,0.25
Central African Republic,446,0.06
Chad,897,0.25
Chile,12900,0.75
China,4560,0.25
Colombia,6250,0.31
Comoros,769,0.07
"Congo, Dem. Rep.",334,0.05
"Congo, Rep.",2740,0.18
Costa Rica,8200,0.42
Cote d'Ivoire,1220,0.11
Croatia,13500,0.75
Cyprus,30800,1
Czech Republic,19800,0.75
Denmark,58000,1
Dominican Republic,5450,0.27
Ecuador,4660,0.25
Egypt,2600,0.17
El Salvador,2990,0.18
Equatorial Guinea,17100,0.75
Eritrea,482,0.06
Estonia,14600,0.75
Fiji,3650,0.23
Finland,46200,1
France,40600,1
Gabon,8750,0.46
Gambia,562,0.07
Georgia,2960,0.18
Germany,41800,1
Ghana,1310,0.13
Greece,26900,1
Grenada,7370,0.36
Guatemala,2830,0.18
Guinea,648,0.07
Guinea-Bissau,547,0.07
Guyana,3040,0.16
Haiti,662,0.08
Hungary,13100,0.75
Iceland,41900,1
India,1350,0.13
Indonesia,3110,0.18
Iran,6530,0.32
Iraq,4500,0.24
Ireland,48700,1
Israel,30600,1
Italy,35800,1
Jamaica,4680,0.25
Japan,44500,1
Jordan,3680,0.22
Kazakhstan,9070,0.48
Kenya,967,0.09
Kiribati,1490,0.13
Kuwait,38500,1
Kyrgyz Republic,880,0.08
Lao,1140,0.1
Latvia,11300,0.53
Lebanon,8860,0.46
Lesotho,1170,0.09
Liberia,327,0.04
Libya,12100,0.56
Lithuania,12000,0.61
Luxembourg,105000,1
"Macedonia, FYR",4540,0.24
Madagascar,413,0.05
Malawi,459,0.06
Malaysia,9070,0.48
Maldives,7100,0.36
Mali,708,0.07
Malta,21100,1
Mauritania,1200,0.25
Mauritius,8000,0.39
"Micronesia, Fed. Sts.",2860,0.18
Moldova,1630,0.14
Mongolia,2650,0.16
Montenegro,6680,0.5
Morocco,2830,0.17
Mozambique,419,0.05
Myanmar,988,0.09
Namibia,5190,0.25
Nepal,592,0.07
Netherlands,50300,1
New Zealand,33700,0.79
Niger,348,0.04
Nigeria,2330,0.17
Norway,87800,1
Oman,19300,0.75
Pakistan,1040,0.09
Panama,8080,0.38
Paraguay,3230,0.18
Peru,5020,0.25
Philippines,2130,0.14
Poland,12600,0.58
Portugal,22500,0.76
Qatar,70300,1
Romania,8230,0.5
Russia,10700,0.51
Rwanda,563,0.07
Samoa,3450,0.18
Saudi Arabia,19300,0.75
Senegal,1000,0.09
Serbia,5410,0.26
Seychelles,10800,0.51
Sierra Leone,399,0.04
Singapore,46600,0.97
Slovak Republic,16600,0.71
Slovenia,23400,0.77
Solomon Islands,1290,0.11
South Africa,7280,0.35
South Korea,22100,0.76
Spain,30700,0.81
Sri Lanka,2810,0.18
St. Vincent and the Grenadines,6230,0.31
Sudan,1480,0.12
Suriname,8300,0.5
Sweden,52100,1
Switzerland,74600,1
Tajikistan,738,0.08
Tanzania,702,0.07
Thailand,5080,0.25
Timor-Leste,3600,0.21
Togo,488,0.1
Tonga,3550,0.21
Tunisia,4140,0.22
Turkey,10700,0.51
Turkmenistan,4440,0.24
Uganda,595,0.07
Ukraine,2970,0.16
United Arab Emirates,35000,0.85
United Kingdom,38900,0.86
United States,48400,0.98
Uruguay,11900,0.53
Uzbekistan,1380,0.09
Vanuatu,2970,0.18
Venezuela,13500,0.54
Vietnam,1310,0.09
Yemen,1310,0.09
Zambia,1460,0.09
